,w1,w2,ground_truth,prediction
152,e_d213,e_tca,0.0,0.0
153,"77,78",113,0.0,0.0
154,shih tzu cross,shih-tzu cross,1.0,1.0
155,automotive,agribusiness,0.0,0.0
156,z13,r2w4,0.0,0.0
157,european languages & culture,european culture,1.0,0.0
158,equatorial guinea,uzbekistan,0.0,0.0
159,syc,tec,0.0,0.0
160,540,720,0.0,0.0
161,games,gaming,1.0,0.0
162,india/nagaland,armenia/azerbaijan/nagorno-karabakh,0.0,0.0
163,oregon,maine,0.0,0.0
164,norway,yemen arab republic [former],0.0,0.0
165,ukraine,romania,0.0,0.0
166,china/old town,montavilla,0.0,0.0
167,chasselas,carignan,0.0,0.0
168,pennsylvania,nebraska,0.0,0.0
169,ethiopia,slovenia,0.0,0.0
170,cast,pitt,0.0,0.0
171,macedonia,anguilla,0.0,0.0
172,district of columbia,california,0.0,0.0
173,massachusetts,ma,1.0,1.0
174,madagascar,burundi,0.0,0.0
175,nj,me,0.0,0.0
176,sweden,new zealand,0.0,0.0
177,hyderabad,bloemfontein,0.0,0.0
178,india,spain,0.0,0.0
179,3,"6,28",0.0,0.0
180,oh,ak,0.0,0.0
181,a1050000007r6mj,a105000000587jl,0.0,0.0
182,frmt,hayw,0.0,0.0
183,new york city,sacramento county,0.0,0.0
184,"business operations specialists, all other","business operations specialists, all other*",1.0,1.0
185,mrt,hic,0.0,0.0
186,i-family,i-identifier,0.0,0.0
187,new zealand,japan,0.0,0.0
188,yemen,italy,0.0,0.0
189,basketball court,picnic area,0.0,0.0
190,800,1,0.0,0.0
191,hun,cok,0.0,0.0
192,norway,lao people's democratic republic,0.0,0.0
193,"21,22",51,0.0,0.0
194,lyric theatre,lyric theater,1.0,1.0
195,senior supervising attorney,sr. supervising attorney,1.0,1.0
196,intra,interintra,0.0,0.0
197,bulgaria,australia,0.0,0.0
198,percent,ratio,0.0,0.0
199,calorie posting / re-inspection,smoke-free air act / limited inspection,0.0,0.0
200,30,16,0.0,0.0
201,north america,south asia,0.0,0.0
202,crdprev,nmbr,0.0,0.0
203,south dakota,michigan,0.0,0.0
204,982,300,0.0,0.0
205,nv,nevada,1.0,0.0
206,final consumption expenditure,household consumption expenditure (including non-profit institutions serving households),0.0,0.0
207,malta;united kingdom,bahamas,0.0,0.0
208,barbados,congo,0.0,0.0
209,bahrain,bahamas;united kingdom,0.0,0.0
210,"professional, scientific and technical activities (m)",private households with employed persons (t),0.0,0.0
211,e_d319,e_inpat,0.0,0.0
212,management counsel,management counsel,1.0,1.0
213,n,y,0.0,0.0
214,exports_of_goods,npishs_final_consumption_expenditure,0.0,0.0
215,gresham - north central,woodland park,0.0,0.0
216,india,tajikistan,0.0,0.0
217,vandalism,duii,0.0,0.0
218,castle donington,styria,0.0,0.0
219,sub-saharan africa,middle east & north africa,0.0,0.0
220,wyoming,wy,1.0,1.0
221,uruguay,"iran, islamic republic of",0.0,0.0
222,1,16,0.0,0.0
223,tinta negra mole,kuntra,0.0,0.0
224,france,iceland,0.0,0.0
225,impmod,reoth,0.0,0.0
226,education,equals_value_added_gross_at_basic_prices,0.0,0.0
227,embezzlement,burglary,0.0,0.0
228,tanzanian shilling,tanzania shilling,1.0,1.0
229,chairman (attorney),chairman/ attorney,1.0,1.0
230,rwanda,papua new guinea,0.0,0.0
231,saint kitts and nevis,maldives,0.0,0.0
232,dalmation,dalmatian,1.0,0.0
233,077a,017e,0.0,0.0
234,cmr,cmr,1.0,1.0
235,united kingdom of great britain and northern ireland,kosovo,0.0,0.0
236,iberia parish,comal county,0.0,0.0
237,new mexico,north carolina,0.0,0.0
238,networkingafterworkchicago,drink-and-draw-bay,0.0,0.0
239,advertising and pr servicessports and physical recreationbusiness services - other,advertising and pr services sports and physical recreation business services - other,1.0,1.0
240,local30 ($11 plus tax),local365 ($80 plus tax),0.0,0.0
241,dance hall,day care home lt 7,0.0,0.0
242,dominican republic,ukraine,0.0,0.0
243,rio de janeiro,irapuato,0.0,0.0
244,connecticut,illinois,0.0,0.0
245,pakistan,swaziland,0.0,0.0
246,armenia,thailand,0.0,0.0
247,venezuela (bolivarian republic of),sao tome and principe,0.0,0.0
248,lesotho,myanmar,0.0,0.0
249,solar_electricity,biodiesel,0.0,0.0
250,hillsdale,cathedral park,0.0,0.0
251,ga,mn,0.0,0.0
252,mlbr,ftvl,0.0,0.0
253,private households with employed persons,"water supply; sewerage, waste management and remediation activities",0.0,0.0
254,massachusetts,texas,0.0,0.0
255,st johns,roseway,0.0,0.0
256,violence against civilians,violence against civilians,1.0,1.0
257,vt,dc,0.0,0.0
258,freeport,saint petersburg,0.0,0.0
259,local30,restricted,0.0,0.0
260,spiritualism,spirituality,1.0,1.0
261,i-multiple,o,0.0,0.0
262,dc,district of columbia,1.0,1.0
263,bike lane sweeping,yard trimmings-storm cleanup,0.0,0.0
264,cub,ner,0.0,0.0
265,b-systematic,b-identifier,0.0,0.0
266,741,932,0.0,0.0
267,new construction,otc alterations permit,0.0,0.0
268,vulnerable,extinct,0.0,0.0
269,"living standards measurement study survey (lsms), 1998","core welfare indicator questionnaire survey (cwiq), 2011/12",0.0,0.0
270,110,204,0.0,0.0
271,retail; advertising and pr services; restaurant/food services,retailadvertising and pr servicesrestaurant/food services,1.0,1.0
272,robbery,aggravated assault,0.0,0.0
273,kaz,fji,0.0,0.0
274,district of columbia,idaho,0.0,0.0
275,eda award,bronze wrangler,0.0,0.0
276,jerez de la frontera,kent,0.0,0.0
277,country_02,country_01,0.0,0.0
278,r2w2,y11a,0.0,0.0
279,curfew,motor vehicle theft,0.0,0.0
280,ragdoll,devon rex,0.0,0.0
281,race,overall,0.0,0.0
282,swaziland,guinea,0.0,0.0
283,ouguiya,ouguiyas,1.0,1.0
284,yugoslavia [former socialist federal republic],25,0.0,0.0
285,layer 3 down,layer 2 up,0.0,0.0
286,auditorium hall,auditorium theatre,1.0,0.0
287,israel,chalkidiki,0.0,0.0
288,luxembourg,djibouti,0.0,0.0
289,gresham - rockwood group,lkos - oak creek,0.0,0.0
290,social welfare,social work,1.0,0.0
291,"includes electricity, gas, steam and air conditioning supply.",include real estate activities.,0.0,0.0
292,korean association of film critics award,gfca award,0.0,0.0
293,multnomah,south tabor,0.0,0.0
294,utah,ut,1.0,0.0
295,"8,15",42,0.0,0.0
296,hazelwood,crstn-kenilwth,0.0,0.0
297,civc,conc,0.0,0.0
298,montana,mt,1.0,0.0
299,slovakia,italy,0.0,0.0
300,azerbaijan grand prix,san marino grand prix,0.0,0.0
301,g,e,0.0,0.0
302,w50,951,0.0,0.0
303,shetland sheepdog,shetland sheep dog,1.0,1.0
304,mining_and_quarrying,land_transport_transport_via_pipelines_water_transport_air_transport_supporting_and_auxiliary_transport_activities_activities_of_travel_agencies,0.0,0.0
305,hungary,lebanon,0.0,0.0
306,alo,cou,0.0,0.0
307,special data dissemination standard (sdds),enhanced general data dissemination system (e-gdds),0.0,0.0
308,south carolina,sc,1.0,0.0
309,performing arts center,performing arts center (tulsa),1.0,1.0
310,less_consumption_of_fixed_capital,plus_current_transfers_from_the_rest_of_the_world,0.0,0.0
311,sp.reg.brth.zs,sp.reg.brth.zs,1.0,1.0
312,tennessee,hawaii,0.0,0.0
313,gap-filled total,weighted average,0.0,0.0
314,gambling,stolen property,0.0,0.0
315,arc fye (check),excel sheet,0.0,0.0
316,london critics circle film awards,houston film critics society awards,0.0,0.0
317,northwest hts,alameda,0.0,0.0
318,furniture making,restaurant,0.0,0.0
319,layer 1 down,layer 2 up,0.0,0.0
320,laying,walking,0.0,0.0
321,"milpitas, ca 95134","milpitas, ca 95035",1.0,1.0
322,northwest ind,collins view,0.0,0.0
323,business services - other,business services - otherother/not classified,1.0,1.0
324,dog (non std),cat (non std),0.0,0.0
325,maroondah city council,yarra ranges shire council,0.0,0.0
326,western europe,north america,0.0,0.0
327,nz,au,0.0,0.0
328,orange/black,black/orange,1.0,1.0
329,fye,georeturn_est,0.0,0.0
330,do,cm,0.0,0.0
331,fl,nc,0.0,0.0
332,offenses against family,motor vehicle theft,0.0,0.0
333,latin america and caribbean,north america,0.0,0.0
334,rwanda,burkina faso,0.0,0.0
335,gresham - powell valley,portsmouth,0.0,0.0
336,co,nj,0.0,0.0
337,joint power agreement,revenue agreements,0.0,0.0
338,mex,tur,0.0,0.0
339,restaurants_and_hotels,plus,0.0,0.0
340,z02,w16a,0.0,0.0
341,namibia,democratic republic of congo,0.0,0.0
342,malta,australia,0.0,0.0
343,moroccan grand prix,luxembourg grand prix,0.0,0.0
344,warsaw,zurich,0.0,0.0
345,oil_shale_oil_sands,other_bituminous_coal,0.0,0.0
346,belly-dance,bellydance-dance-belly-dancing,1.0,1.0
347,connecticut,minnesota,0.0,0.0
348,fl,va,0.0,0.0
349,green valley,friendsville,0.0,0.0
350,ross-shire,ross-shire,1.0,1.0
351,inactivenonvested,phaseintype,0.0,0.0
352,oh,il,0.0,0.0
353,uganda,"egypt, arab republic of",0.0,0.0
354,bi-weekly,bi,1.0,1.0
355,"1,69","57,65,182",0.0,0.0
356,delaware,boston,0.0,0.0
357,miscellaneous,institution building,0.0,0.0
358,alabama,colorado,0.0,0.0
359,"montgomery, oh","montgomery, oh 45242",1.0,1.0
360,"kilowatt-hours, million","metric tons,  thousand",0.0,0.0
361,tmo,kov,0.0,0.0
362,egham,athens,0.0,0.0
363,delicatessen,greek,0.0,0.0
364,south tabor,multnomah,0.0,0.0
365,ireland;isle of man,argentina;bahamas,0.0,0.0
366,zwe,qat,0.0,0.0
367,imn;che,dom;mex;esp,0.0,0.0
368,00646-6711,00908-3862,0.0,0.0
369,rtd,ko,0.0,0.0
370,drugs,liquor laws,0.0,0.0
371,south asia,north america,0.0,0.0
372,propertyau,property,1.0,1.0
373,"richardson, tx","richardson, tx 75082",1.0,1.0
374,phil,glen,0.0,0.0
375,normal,ghost,0.0,0.0
376,black/sable,sable/black,1.0,1.0
377,tape recorder,piano,0.0,0.0
378,si,hu,0.0,0.0
379,sylvaner,corvina,0.0,0.0
380,united kingdom,qatar,0.0,0.0
381,arkansas,ar,1.0,1.0
382,central african republic,brazil,0.0,0.0
383,real estate/property management business services - other other/not classified,real estate/property management;business services - other;other/not classified,1.0,1.0
384,haiti,syria,0.0,0.0
385,tanzania,tajikistan,0.0,0.0
386,dbrk,sfia,0.0,0.0
387,ast1_1,ovc7_1,0.0,0.0
388,greece,kiribati,0.0,0.0
389,somalia,zimbabwe,0.0,0.0
390,syr,mne,0.0,0.0
391,turkmenistan,moldova,0.0,0.0
392,africa,papunesia,0.0,0.0
393,08/03/2013,06/05/2011,0.0,0.0
394,group d,play-off for third place,0.0,0.0
395,yrbss,legal research,0.0,0.0
396,senior associate attorney,sr. associate attorney,1.0,1.0
397,litas,litas,1.0,1.0
398,rel,preoth,0.0,0.0
399,dalmation x,dalmatian x,1.0,1.0
400,balance_of_payments_reserves_and_related_items,other_financial_corporations_other_banking_nonbank_financial_institutions_increase_in_total_assets,0.0,0.0
401,r2w1,r1y1,0.0,0.0
402,hillsdale,cully,0.0,0.0
403,15,estonia,0.0,0.0
404,south san francisco,west chicago,0.0,0.0
405,"basking ridge, nj","basking ridge, nj 07920",1.0,1.0
406,gross_capital_formation,exports_of_goods_and_services,0.0,0.0
407,kiribati,israel,0.0,0.0
408,ind,tza,0.0,0.0
409,denmark,nigeria,0.0,0.0
410,ftvl,cast,0.0,0.0
411,guam,new york,0.0,0.0
412,brooklyn,kerns,0.0,0.0
413,bridgeton,hosfrd-abrnethy,0.0,0.0
414,phoenix,idaho,0.0,0.0
415,france,dominican republic,0.0,0.0
416,connecticut,ct,1.0,0.0
417,kurhaus-saal,kurhaus,1.0,0.0
418,"integrated household survey (ihs), 2011","1-2-3 survey (1-2-3), 2012/13",0.0,0.0
419,s03,l05,0.0,0.0
420,alaska,arizona,0.0,0.0
421,961,981,0.0,0.0
422,belarus,vanuatu,0.0,0.0
423,georgia,st kitts and nevis,0.0,0.0
424,north tabor,sunnyside,0.0,0.0
425,7e,ec,0.0,0.0
426,fishing_b,agriculture_hunting_and_related_service_activities_01,0.0,0.0
427,russian rouble,russian ruble,1.0,1.0
428,d.9,d.2-d.3,0.0,0.0
429,cameroon,canada,0.0,0.0
430,balinese,domestic shorthair/british shorthair,0.0,0.0
431,robbery,homicide,0.0,0.0
432,bwa,lby,0.0,0.0
433,north carolina,texas,0.0,0.0
434,orpheum theatre,orpheus hall,1.0,0.0
435,red/white,red & white,1.0,1.0
436,oman,turks and caicos islands,0.0,0.0
437,private households with employed persons,construction,0.0,0.0
438,il,us,0.0,0.0
439,american,jewish/kosher,0.0,0.0
440,mississippi,texas,0.0,0.0
441,exports_of_goods_and_services,gross_capital_formation,0.0,0.0
442,level dollarclosed,level dollar closed,1.0,1.0
443,kuwait,lithuania,0.0,0.0
444,sl,6l,0.0,0.0
445,botswana,"china, people's republic of",0.0,0.0
446,jampal,trebbiano spoletino,0.0,0.0
447,nm,ak,0.0,0.0
448,tan & brown,brown/tan,1.0,1.0
449,ljubljana,barcelona,0.0,0.0
450,warm,conc,0.0,0.0
451,80,71,0.0,0.0
452,trinidad and tobago,philippines,0.0,0.0
453,aerospace and defense; government and military,aerospace and defensegovernment and military,1.0,1.0
454,financial intermediation,manufacturing,0.0,0.0
455,forlì,alto valle de uco,0.0,0.0
456,va,virginia,1.0,0.0
457,pakistan,24,0.0,0.0
458,lebanon,uzbekistan,0.0,0.0
459,port phillip city council,casey city council,0.0,0.0
460,french language lovers; french language;,french language,1.0,1.0
461,bagged litter,yard trimming,0.0,0.0
462,508,930,0.0,0.0
463,black or african american,american indian or alaska native,0.0,0.0
464,car wash,library,0.0,0.0
465,mont,orin,0.0,0.0
466,new mexico,nm,1.0,0.0
467,retailrental servicesrestaurant/food services,retail; rental services; restaurant/food services,1.0,1.0
468,e_102,e_hor,0.0,0.0
469,o,i-multiple,0.0,0.0
470,sudan,bulgaria,0.0,0.0
471,financial and insurance activities (k),forestry and logging (02),0.0,0.0
472,median,average annual number,0.0,0.0
473,plus_statistical_discrepancy,collective_consumption_expenditure,0.0,0.0
474,bmu;vgb;che,cym;tha,0.0,0.0
475,vp of operations,vp operations,1.0,0.0
476,i-family,b-no class,0.0,0.0
477,z14,r4y1,0.0,0.0
478,"ice cream, gelato, yogurt, ices",tex-mex,0.0,0.0
479,gambling,forgery,0.0,0.0
480,pleasant valley,arnold creek,0.0,0.0
481,353,951,0.0,0.0
482,vt,vermont,1.0,0.0
483,nc,wa,0.0,0.0
484,electricity_gas_steam_and_air_conditioning_supply,private_households_with_employed_persons,0.0,0.0
485,570,680,0.0,0.0
486,jo,gu,0.0,0.0
487,closed,active,0.0,0.0
488,cayman islands,germany,0.0,0.0
489,vp operations,vp of operations,1.0,0.0
490,ahmedabad,johannesburg,0.0,0.0
491,sn,be,0.0,0.0
492,dwrw,irvington,0.0,0.0
493,runaway,fraud,0.0,0.0
494,jsa/prsp and jsa/i-prsp,partnership,0.0,0.0
495,management counsel,management counsel,1.0,1.0
496,"blacksmiths, hammersmiths, and forging-press workers",production supervisors and general foremen,0.0,0.0
497,ireland,cyprus,0.0,0.0
498,managing paralegal,managing paralegal,1.0,1.0
499,china pr,norway,0.0,0.0
500,zaf,ind,0.0,0.0
501,preoth,rel,0.0,0.0
502,560,w50,0.0,0.0
503,east asia & pacific (excluding high income),papua new guinea,0.0,0.0
504,north carolina,nc,1.0,0.0
505,322,underc,0.0,0.0
506,equals: gross domestic product,plus: taxes less subsidies on products,0.0,0.0
507,disk,medic,0.0,0.0
508,aggravated assault,liquor laws,0.0,0.0
509,ca-dvbe ca-sb cdvbe dbe sb sdvosb,ca-dvbe cdvbe,0.0,0.0
510,inhouse - recycling,recycling,0.0,0.0
511,"16,22","9,10",0.0,0.0
512,wy,tn,0.0,0.0
513,r3z2,r1y6,0.0,0.0
514,murabaha,school finance,0.0,0.0
515,north korea/united states of america,iraq/united states of america,0.0,1.0
516,professional_scientific_and_technical_activities,less_financial_intermediation_services_indirectly_measured_fisim,0.0,0.0
517,r2x4,r1x6,0.0,0.0
518,871,tu,0.0,0.0
519,tajikistan,tanzania,0.0,0.0
520,mongolia,côte d'ivoire,0.0,0.0
521,blue & silver,blue and silver,1.0,0.0
522,health,plus_direct_purchases_abroad_by_residents,0.0,0.0
523,sex offenses,rape,0.0,0.0
524,lc,cs,0.0,0.0
525,a1050000000qbwq,a1050000003vzue,0.0,0.0
526,me,maine,1.0,0.0
527,caesars palace grand prix,hungarian grand prix,0.0,0.0
528,fer servadou,"corvina, rondinella, molinara",0.0,0.0
529,french grand prix,japanese grand prix,0.0,0.0
530,video description,equipment,0.0,0.0
531,wi,nc,0.0,0.0
532,laos,morocco,0.0,0.0
533,availability,speed,0.0,0.0
534,muscat of patras,pitsilia mountains,0.0,0.0
535,cream/black,black/cream,1.0,1.0
536,971,951,0.0,0.0
537,montreal protocol,institutional development fund,0.0,0.0
538,uruguay,central africa,0.0,0.0
539,art1_3,npaw13_1,0.0,0.0
540,951,971,0.0,0.0
541,pv of inactive vested benefits,required contribution,0.0,0.0
542,tech,outdoors & adventure,0.0,0.0
543,tanzania shilling,tanzanian shilling,1.0,1.0
544,nillumbik shire council,moorabool shire council,0.0,0.0
545,fishing_and_aquaculture,administrative_and_support_service_activities,0.0,0.0
546,"water supply; sewerage, waste management and remediation activities (e)",accommodation and food service activities (i),0.0,0.0
547,sable brown,sable/brown,1.0,0.0
548,arkansas,ar,1.0,1.0
549,yr,year,1.0,0.0
550,bachelor's,doctorate,0.0,0.0
551,nh,new hampshire,1.0,0.0
552,plus_capital_transfers_from_the_rest_of_the_world,plus_sum_of_compensation_of_employees_and_property_income_from_the_rest_of_the_world,0.0,0.0
553,latvia,denmark,0.0,0.0
554,freelancer,architect,0.0,0.0
555,hungary,switzerland,0.0,0.0
556,"refers to transportation, storage, postal and courier services.",data for this year refers to provisional data.,0.0,0.0
557,australian silky terrier cross,australian silky terrier cross,1.0,1.0
558,op,30,0.0,0.0
559,win_a,draw,0.0,0.0
560,footnote_seqid,20,0.0,0.0
561,san diego,west virginia,0.0,0.0
562,colorado,illinois,0.0,0.0
563,yeongam county,brussels,0.0,0.0
564,hawaii,montana,0.0,0.0
565,com'l,rear unit,0.0,0.0
566,powelhst-gilbrt,northwest ind,0.0,0.0
567,others,mining,0.0,0.0
568,nc,mt,0.0,0.0
569,president/ alcc,president/alcc,1.0,1.0
570,less_subsidies_on_products,hotels_and_restaurants,0.0,0.0
571,industrials,consumer staples,0.0,0.0
572,nicaragua,thailand,0.0,0.0
573,uruguay,dominica,0.0,0.0
574,farming and fishing and forestry and wildlife machinery and accessories,commercial and military and private vehicles and their accessories and components,0.0,0.0
575,income_interestanddividends,normcostrate_ee,0.0,0.0
576,w21,962,0.0,0.0
577,ma,mt,0.0,0.0
578,chicago heights,chicago,0.0,0.0
579,us,mx,0.0,0.0
580,schnauzer (giant),schnauzer giant,1.0,1.0
581,agriculture_forestry_and_fishing,accommodation_and_food_service_activities,0.0,0.0
582,gin,alb,0.0,0.0
583,family,language,0.0,0.0
584,ovc8_0,alc6_0,0.0,0.0
585,st johns,gresham - rockwood group,0.0,0.0
586,layer 3 up,layer 1 up,0.0,0.0
587,mi,tn,0.0,0.0
588,cabo verde,trinidad and tobago,0.0,0.0
589,moldova,panama,0.0,0.0
590,contrib_ee_regular,totmembership,0.0,0.0
591,samoyed cross,samoyed cross,1.0,1.0
592,activespaces,nestnairobi,0.0,0.0
593,"4,9","7,9",0.0,0.0
594,writing,write,1.0,0.0
595,transport conductors,building and related electricians,0.0,0.0
596,w51,932,0.0,0.0
597,fishing_and_aquaculture,human_health_and_social_work_activities,0.0,0.0
598,gray,blue,0.0,0.0
599,bangladesh,st pierre & miquelon,0.0,0.0
600,office manager,office manager,1.0,1.0
601,new jersey,georgia,0.0,0.0
602,vocational education teachers postsecondary,"vocational education teachers, postsecondary",1.0,1.0
603,chinese/japanese,bangladeshi,0.0,0.0
604,lambrusco di modena,geographe,0.0,0.0
605,south dakota,wyoming,0.0,0.0
606,self-employed wihout any employee,worked for private establishment,0.0,0.0
607,t05,j10,0.0,0.0
608,sumner,powelhst-gilbrt,0.0,0.0
609,slovakia,georgia,0.0,0.0
610,ssp,hnl,0.0,0.0
611,arts_entertainment_and_recreation,memorandum_item_fisim_if_distributed_to_uses,0.0,0.0
612,austin,montgomery county,0.0,0.0
613,hosfrd-abrnethy,eastmoreland,0.0,0.0
