,w1,w2,ground_truth,prediction
123,deleterious,tolerated_low_confidence,0.0,0.0
124,sen,mwi,0.0,0.0
125,gtm,gtm,1.0,1.0
126,22,12,0.0,0.0
127,malaysia,burkina faso,0.0,0.0
128,apache/2.2.13 (unix) mod_ssl/2.2.13 openssl/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 php/5.2.10,apache/2.4.25 (cpanel) openssl/1.0.1e-fips mod_bwlimited/1.4,0.0,0.0
129,college grove,rosedale,0.0,0.0
130,services are specifically exempt by statute,legal defense advice or services by an attorney or staff,0.0,0.0
131,revenue agreements,subvention and local assistance,0.0,0.0
132,06a,02j,0.0,0.0
133,manufacturing,agriculture_hunting_forestry_fishing,0.0,0.0
134,y16,r1w8,0.0,0.0
135,ca,oh,0.0,0.0
136,embezzlement,vandalism,0.0,0.0
137,"plan a members are not covered by social security, plan b members are covered by social security",most plan members covered by social security (each participating district decides their own ss participation).,0.0,0.0
138,barbados,mauritania,0.0,0.0
139,attorney of file,attorney of file,1.0,1.0
140,mining_manufacturing_utilities_isic_c_e,manufacturing_isic_d,0.0,0.0
141,ga,al,0.0,0.0
142,sandy & white,white/sandy,1.0,1.0
143,y09,z14b,0.0,0.0
144,annual,explorer ($8 plus tax),0.0,0.0
145,tzs,htg,0.0,0.0
146,00915-2401,00927-6631,0.0,0.0
147,mahashakti: underserved,agriculture,0.0,0.0
148,"dallas, tx 75202","dallas, tx",1.0,1.0
149,oklahoma,massachusetts,0.0,0.0
150,street cleaning-special projects,special events,0.0,0.0
151,co,cf,0.0,0.0
152,austria,turkey,0.0,0.0
153,"computer occupations, all other","computer occupations, all other*",1.0,1.0
154,ca-mb ca-sb sb,ca-mb ca-sb ca-sbe cdvbe mbe mosb sb sbasdb sdvosb,0.0,0.0
155,washington,hawaii,0.0,0.0
156,calorie posting / initial inspection,smoke-free air act / second compliance inspection,0.0,0.0
157,q29framelovepadrino,q23framenetcore,0.0,0.0
158,gresham - hollybrook,crstn-kenilwth,0.0,0.0
159,ecuador,syrian arab republic,0.0,0.0
160,•   healthcare services,healthcare services,1.0,1.0
161,mining_and_quarrying,memorandum_item_fisim_if_distributed_to_uses,0.0,0.0
162,"5,7","11,23",0.0,0.0
163,dog (kept for working stock,dog (restricted breed),0.0,0.0
164,ca-mb ca-sb mbe mosb sb,sb wbe wosb,0.0,0.0
165,data for this year refers to semi-final data.,refers to import duties.,0.0,0.0
166,retailtelecommunications servicesbusiness services - other,retail telecommunications services business services - other,1.0,1.0
167,kaz,pak,0.0,0.0
168,ar,tn,0.0,0.0
169,american shorthair,ragdoll,0.0,0.0
170,"7,17","5,27",0.0,0.0
171,telecommunications equipment,multi-line insurance,0.0,0.0
172,viet nam,gabon,0.0,0.0
173,tza,tza,1.0,1.0
174,rhode island,ri,1.0,0.0
175,web,kub,0.0,0.0
176,hi,nm,0.0,0.0
177,kihei,tennessee ridge,0.0,0.0
178,sle,sle,1.0,1.0
179,educational services,energy,0.0,0.0
180,wspr,19th,0.0,0.0
181,mpcti,averag,0.0,0.0
182,blue/tan,blue & tan,1.0,1.0
183,zwe,col,0.0,0.0
184,nj,new jersey,1.0,0.0
185,lithuania,jordan,0.0,0.0
186,castle rock,west hills,0.0,0.0
187,south africa,georgia,0.0,0.0
188,cabernet sauvignon-malbec,teroldego,0.0,0.0
189,nob hill,castro/upper market,0.0,0.0
190,cameroon,small states,0.0,0.0
191,ms,mississippi,1.0,0.0
192,pageon,spanish islands,0.0,0.0
193,brazilian grand prix,mexican grand prix,0.0,0.0
194,"sunnyvale, ca","sunnyvale, ca 94086",1.0,1.0
195,146,"11,12",0.0,0.0
196,mississippi,ms,1.0,0.0
197,westchester county,beaver county,0.0,0.0
198,nicaragua,pakistan,0.0,0.0
199,flame,lynx,0.0,0.0
200,cvd1_1,art4_0,0.0,0.0
201,botswana,kuwait,0.0,0.0
202,plus: statistical discrepancy,"electricity, gas, steam and air conditioning supply",0.0,0.0
203,nzl,npl,0.0,0.0
204,luxembourg,lao people's democratic republic,0.0,0.0
205,041c,020e,0.0,0.0
206,petit basset griffon vendeen,petit basset griffon vendeen,1.0,1.0
207,i-love-the-new-yorker-magazine-in-sf,the-american-writers-museum,0.0,0.0
208,other activities (isic j-p),"transport, storage and communication (isic i)",0.0,0.0
209,gresham - powell valley,kerns,0.0,0.0
210,rhode island,maryland,0.0,0.0
211,washington,nevada,0.0,0.0
212,well digging,food,0.0,0.0
213,cote d'ivoire,turkmenistan,0.0,0.0
214,830,972,0.0,0.0
215,health care,construction,0.0,0.0
216,nxs,con,0.0,0.0
217,gross fixed capital formation (including acquisitions less disposals of valuables),gross domestic product (gdp),0.0,0.0
218,sanl,orin,0.0,0.0
219,120,620,0.0,0.0
220,material handling and conditioning and storage machinery and their accessories and supplies,politics and civic affairs services,0.0,0.0
221,public assmbly other,tourist hotel/motel,0.0,0.0
222,sp,tu,0.0,0.0
223,25,lithuania,0.0,0.0
224,00831-0410,00841-2047,0.0,0.0
225,malta,slovak republic,0.0,0.0
226,1,0,0.0,0.0
227,h,a,0.0,0.0
228,actcostmethcode_gasb,investmentreturn_7yr,0.0,0.0
229,north carolina,alaska,0.0,0.0
230,minnesota,mn,1.0,0.0
231,intermission-third,intermission,0.0,1.0
232,641,hp1,0.0,0.0
233,south sudan,republic of moldova,0.0,0.0
234,phokeng,malaga,0.0,0.0
235,shareholder - managing attorney,"shareholder, managing attorney",1.0,1.0
236,ncb,special category request (scr),0.0,0.0
237,vegetable and melon farming,commercial banking,0.0,0.0
238,15,canada,0.0,0.0
239,pakistan rupee,pakistan rupee,1.0,1.0
240,ca-mb ca-sb mbe sb wbe,ca-sb mbe sb,0.0,0.0
241,japan,chad,0.0,0.0
242,ie,al,0.0,0.0
243,00801-5028,09067-3152,0.0,0.0
244,category 2,dog (new),0.0,0.0
245,electricity_gas_and_water_supply,health_and_social_work,0.0,0.0
246,plan members covered by social security,most plan members covered by social security (each participating county or district decides their own ss participation).,0.0,0.0
247,ut,wv,0.0,0.0
248,exports of goods and services,imports of goods and services,0.0,1.0
249,08a,03f,0.0,0.0
250,investmentreturn_7yr,actcostmethcode_gasb,0.0,0.0
251,pets & animals,parents & family,0.0,0.0
252,maine,me,1.0,0.0
253,congo,togo,0.0,0.0
254,col,col,1.0,1.0
255,bichon frise cross,bichon frise cross,1.0,1.0
256,cvd8_0,can2_2,0.0,0.0
257,pago pago,charlotte amalie,0.0,0.0
258,denmark,belgium,0.0,0.0
259,610,151,0.0,0.0
260,sh,ir,0.0,0.0
261,vi,virgin islands,1.0,1.0
262,red/white,red & white,1.0,1.0
263,closed,moved,0.0,0.0
264,26,9,0.0,0.0
265,south africa,albania,0.0,0.0
266,dz,hn,0.0,0.0
267,dbrk,balb,0.0,0.0
268,education and training services,distribution and conditioning systems and equipment and components,0.0,0.0
269,carbon offset,rainforest,0.0,0.0
270,bulgaria,cuba,0.0,0.0
271,open internet/net neutrality,commercials/promotions,0.0,0.0
272,890,570,0.0,0.0
273,arnold creek,gresham - north central,0.0,0.0
274,guam,gu,1.0,1.0
275,republic of moldova,lao people's democratic republic,0.0,0.0
276,ssd,blr,0.0,0.0
277,maine,vermont,0.0,0.0
278,sierra nevada conservancy,"administrative law, office of",0.0,0.0
279,austin,imola,0.0,0.0
280,aggravated assault,curfew,0.0,0.0
281,hawaii,kansas,0.0,0.0
282,bangladesh,denmark,0.0,0.0
283,brazil,kenya,0.0,0.0
284,figure-drawing-on-the-lower-east-side,bni-chapter-56,0.0,0.0
285,performing arts center,performing arts center (tulsa),1.0,1.0
286,wk,week,1.0,0.0
287,cym;are,jey;pan,0.0,0.0
288,680,932,0.0,0.0
289,"white, non-hispanic",asian or pacific islander,0.0,0.0
290,liu,alg,0.0,0.0
291,tinian,monaco,0.0,0.0
292,ok,oklahoma,1.0,1.0
293,arizona,az,1.0,0.0
294,conc,shay,0.0,0.0
295,kansas,alabama,0.0,0.0
296,finland,12,0.0,0.0
297,timor-leste,fiji,0.0,0.0
298,florida,fl,1.0,1.0
299,retail; rental services; restaurant/food services,retailrental servicesrestaurant/food services,1.0,1.0
300,australia,portugal,0.0,0.0
301,"works, maintenance and rehabilitation","equipment, energy exploration, productio",0.0,0.0
302,switzerland,usa,0.0,0.0
303,bhutan,iran (islamic republic of),0.0,0.0
304,cameroon,cambodia,0.0,0.0
305,850,gl2,0.0,0.0
306,ic.frm.crim.zs,ic.frm.durs,0.0,0.0
307,boroondara city council,cardinia shire council,0.0,0.0
308,mt tabor,sumner,0.0,0.0
309,phil,wcrk,0.0,0.0
310,sao tome and principe,laos,0.0,0.0
311,ca-dvbe ca-mb ca-sb cdvbe sb sdvosb,ca-dvbe cdvbe,0.0,0.0
312,kingston city council,casey city council,0.0,0.0
313,alaska,california,0.0,0.0
314,rhfc,cdn,0.0,0.0
315,russell,maplewood,0.0,0.0
316,"germany, federal republic of",switzerland,0.0,0.0
317,republic of ireland,germany,0.0,0.0
318,warm,sfia,0.0,0.0
319,pompano beach,ojai,0.0,0.0
320,panama,fiji,0.0,0.0
321,luxembourg,iraq,0.0,0.0
322,apricot fawn,apricot & fawn,1.0,1.0
323,nepal,hong kong,0.0,0.0
324,real estate,consumer discretionary,0.0,0.0
325,iraq,micronesia (federated states of),0.0,0.0
326,outside immigration counsel,outside immigration counsel,1.0,1.0
327,europe and central asia,sub-saharan africa,0.0,0.0
328,cms ccw,state,0.0,0.0
329,appeal,incomplete,0.0,0.0
330,ecuador,cali uberx,0.0,0.0
331,cyprus,andorra,0.0,0.0
332,exports of services,less:  imports of goods and services,0.0,0.0
333,"new york, ny 10012","new york, ny",1.0,1.0
334,cameroon,canada,0.0,0.0
335,real_estate_activities_l,manufacturing_c,0.0,0.0
336,less:  imports of goods and services,exports of services,0.0,0.0
337,me,maine,1.0,0.0
338,"jewelry, watch, precious stone, and precious metal merchant wholesalers",other information services,0.0,0.0
339,"associate, attorney at law","associate, attorney at law",1.0,1.0
340,20a,06d,0.0,0.0
341,cmr,cmr,1.0,1.0
342,lincoln park,outer richmond,0.0,0.0
343,indiana,michigan,0.0,0.0
344,grant park,north tabor,0.0,0.0
345,pyrenees,pomino,0.0,0.0
346,duii,gambling,0.0,0.0
347,lead attorney,lead attorney,1.0,1.0
348,palomino,moscatel roxo,0.0,0.0
349,black/silver,black & silver,1.0,1.0
350,se,cr,0.0,0.0
351,parents-of-teens,parents-of-teenagers,1.0,1.0
352,hi,hawaii,1.0,0.0
353,cameroon,madagascar,0.0,0.0
354,equals_gross_domestic_product,exports_of_goods_and_services,0.0,0.0
355,malaysian grand prix,italian grand prix,0.0,0.0
356,d.2-d.3,d.1,0.0,0.0
357,north beach,noe valley,0.0,0.0
358,chihuahua cross,chihuahua cross,1.0,1.0
359,kerns,gresham - powell valley,0.0,0.0
360,well being,wellness,1.0,0.0
361,chile,japan,0.0,0.0
362,af,hu,0.0,0.0
363,ca-dvbe ca-mb ca-sb ca-sbe mbe mosb sdvosb,ca-dvbe ca-mb ca-sb ca-sbe cdvbe mbe mosb sb sbasdb,0.0,1.0
364,zambia,central african republic,0.0,0.0
365,hungary,armenia,0.0,0.0
366,zwe,phl,0.0,0.0
367,15f,18d,0.0,0.0
368,less: financial intermediation services indirectly measured (fisim),"manufacturing, mining and quarrying and other industrial activities",0.0,0.0
369,alaska,phoenix,0.0,0.0
370,"forestry and fire protection, department of",california natural resources agency,0.0,0.0
371,construction_isic_f,other_activities_isic_j_p,0.0,0.0
372,embr,balb,0.0,0.0
373,loin de l'oeil,ruché,0.0,0.0
374,bih,xkx,0.0,0.0
375,"architectural, engineering, and related services",direct health and medical insurance carriers,0.0,0.0
376,recreation bldg,prkng garage/public,0.0,0.0
377,mnc,manna,0.0,0.0
378,sbootcamp,cc_hub,0.0,0.0
379,alabama,illinois,0.0,0.0
380,recycling,special project bu,0.0,0.0
381,jupiter award,central ohio film critics association,0.0,0.0
382,chad,uganda,0.0,0.0
383,king,vernon,0.0,0.0
384,esmeraldas,buenos aires,0.0,0.0
385,951,911,0.0,0.0
386,palestine,mexico,0.0,0.0
387,russian rouble,russian ruble,1.0,1.0
388,sunnyside,kenton,0.0,0.0
389,durham lead,durham lead,1.0,1.0
390,madrid,suzuka,0.0,0.0
391,dubl,rock,0.0,0.0
392,ghana,aruba,0.0,0.0
393,other,clean energy,0.0,0.0
394,institutional development fund,recipient executed activities,0.0,0.0
395,"office and administrative support workers, all other","office and administrative support workers, all other*",1.0,1.0
396,policy and strategy,training services,0.0,0.0
397,west virginia,wv,1.0,0.0
398,american sign language classes,american sign language,1.0,1.0
399,gresham - wilkes east,grant park,0.0,0.0
400,ssd,bih,0.0,0.0
401,myanmar (burma),zambia,0.0,0.0
402,utah,vermont,0.0,0.0
403,coolie,collie,1.0,1.0
404,forestry laborers,estate agents,0.0,0.0
405,northwest,maplewood,0.0,0.0
406,energy,utilities,0.0,0.0
407,nd,tx,0.0,0.0
408,hit wicket,stumped,0.0,0.0
409,jey;gbr,isr,0.0,0.0
410,monte-carlo,jerez de la frontera,0.0,0.0
411,morocco,rwanda,0.0,0.0
412,"president/alccc,inc.","president/ alccc,inc.",1.0,1.0
413,00908-3862,00960-0548,0.0,0.0
414,new york other,sierra foothills,0.0,0.0
415,doniphan county,acadia parish,0.0,0.0
416,00970-3382,00730-4881,0.0,0.0
417,n,y,0.0,0.0
418,me,gh,0.0,0.0
419,new york,ny,1.0,0.0
420,spain,germany,0.0,0.0
421,managing partner,managing partner,1.0,1.0
422,group c,round of 16,0.0,0.0
423,florida,minnesota,0.0,0.0
424,oporto,lisbon,0.0,0.0
425,"expenditure survey/budget survey (es/bs), 2014","expenditure survey/budget survey (es/bs), 2006",0.0,0.0
426,accounting and auditing services business services - other financial services,accounting and auditing servicesbusiness services - otherfinancial services,1.0,1.0
427,rock,glen,0.0,0.0
428,less_financial_intermediation_services_indirectly_measured_fisim,construction,0.0,0.0
429,central coast,finger lakes,0.0,0.0
430,"financial intermediation; real estate, renting and business activities",hotels and restaurants,0.0,0.0
431,méxico df ubersuv,cali uber,0.0,0.0
432,w portland park,healy heights,0.0,0.0
433,slv,slv,1.0,1.0
434,arkansas,duluth,0.0,0.0
435,alabama,wyoming,0.0,0.0
436,san patricio county,weber county,0.0,0.0
437,euro,euro,1.0,1.0
438,npr,yer,0.0,0.0
439,private_households_with_employed_persons_p,public_administration_and_defense_compulsory_social_security_l,0.0,0.0
440,q25langgo,q28lovego,0.0,0.0
441,total_refinery_output,lubricants,0.0,0.0
442,embezzlement,kidnap,0.0,0.0
443,timor-leste,zimbabwe,0.0,0.0
444,virginia,north carolina,0.0,0.0
445,cog,maf,0.0,0.0
446,egypt,gabon,0.0,0.0
447,mdv,mco,0.0,0.0
448,ia,mp,0.0,0.0
449,turkish van,chartreux,0.0,0.0
450,gross_capital_formation,gross_domestic_product_gdp,0.0,0.0
451,2,"20,21",0.0,0.0
452,533,313,0.0,0.0
453,bwa,gnb,0.0,0.0
454,y14,z07,0.0,0.0
455,r1x5,r1w8,0.0,0.0
456,ver,bar,0.0,0.0
457,hp4,20,0.0,0.0
458,transportation_and_storage_h,public_administration_and_defence_education_human_health_and_social_work_activities_o_p_q,0.0,0.0
459,guinea,azerbaijan,0.0,0.0
460,20,30,0.0,0.0
461,private_households_with_employed_persons_t,forestry_and_logging_02,0.0,0.0
462,grant park,gresham - wilkes east,0.0,0.0
463,la plata,machala,0.0,0.0
464,982,162,0.0,0.0
465,moscatel roxo,palomino,0.0,0.0
466,jor,pol,0.0,0.0
467,slovak koruna,slovak koruna,1.0,1.0
468,swaziland,new zealand,0.0,0.0
469,gha,jor,0.0,0.0
470,forest park,hayden island,0.0,0.0
471,sh.sta.bfed.zs,sh.sta.bfed.zs,1.0,1.0
472,k05,s08,0.0,0.0
473,high school,doctorate,0.0,0.0
474,00732-0142,00754-9479,0.0,0.0
475,peru,papua new guinea,0.0,0.0
476,memorial auditorium,memorial hall,1.0,1.0
477,570,w60,0.0,0.0
478,wdub,orin,0.0,0.0
479,drugs,curfew,0.0,0.0
480,in,indiana,1.0,1.0
481,liquor laws,fraud,0.0,0.0
482,concession,picnic area,0.0,0.0
483,ethiopia,benin,0.0,0.0
484,planclosed,fundmethcode_2,0.0,0.0
485,bosnia and herzegovina,germany,0.0,0.0
486,markham,crstn-kenilwth,0.0,0.0
487,tennessee,montana,0.0,0.0
488,alabama,utah,0.0,0.0
489,can,dis,0.0,0.0
490,"21,22","42,43",0.0,0.0
491,apache/2.4.17 (unix) openssl/1.0.1e-fips php/5.6.19,apache-coyote/1.1,0.0,0.0
492,bhutan,kenya,0.0,0.0
493,fundmethcode_2,planclosed,0.0,0.0
494,end,layer 3 down,0.0,0.0
495,ecu,sle,0.0,0.0
496,woak,24th,0.0,0.0
497,maine,wyoming,0.0,0.0
498,plus_statistical_discrepancy,hotels_and_restaurants,0.0,0.0
499,fairy,fire,0.0,0.0
500,bullas,aglianico del taburno,0.0,0.0
501,gib,kir,0.0,0.0
502,lone mountain/usf,tenderloin,0.0,0.0
503,washington,wa,1.0,1.0
504,festival theatre,festival theater,1.0,1.0
505,offenses against family,"assault, simple",0.0,0.0
506,mpcno,t09,0.0,0.0
507,hosfrd-abrnethy,marshall park,0.0,0.0
508,other_financial_corporations_other_banking_nonbank_financial_institutions_reserves,other_depository_corporations_deposit_money_banks_liabilities_included_in_definition_of_money,0.0,0.0
509,südoststeiermark,südsteiermark,1.0,1.0
510,120,20,0.0,1.0
511,industrial engineers,"tailors, dressmakers and hatters",0.0,0.0
512,"11,5","7,4",0.0,0.0
513,r2y1,y12a,0.0,0.0
514,georgia,former ethiopia,0.0,0.0
515,dr,wk,0.0,0.0
516,cortese,nosiola,0.0,0.0
517,"richardson, tx 75082","richardson, tx",1.0,1.0
518,niger,united states,0.0,0.0
519,notes_assetallocation,actcostmeth_note,0.0,0.0
520,pa,ca,0.0,0.0
521,auditorium theatre,auditorium hall,1.0,1.0
522,brindle/black,black/brindle,1.0,1.0
523,hollywood movie of the year,golden globe,0.0,0.0
524,971,720,0.0,0.0
525,u,u,1.0,1.0
526,financial_corporations_survey_banking_survey_domestic_credit,central_government_net_cash_inflow,0.0,0.0
527,trader education,trading education,1.0,1.0
528,201,642,0.0,0.0
529,idaho,colorado,0.0,0.0
530,greenland,croatia,0.0,0.0
531,vut,ltu,0.0,0.0
532,a1050000004vxdg,a1050000002yb4b,0.0,0.0
533,liechtensteiner,swiss,0.0,0.0
534,aglianico del taburno,bullas,0.0,0.0
535,nm,ks,0.0,0.0
536,robbery,vandalism,0.0,0.0
537,viewbank,viewbank,1.0,1.0
538,"forestry, logging and related service activities",education,0.0,0.0
539,washington,wa,1.0,1.0
540,black/sable,sable/black,1.0,1.0
541,alliance of women film journalists,georgia film critics association (gfca),0.0,0.0
542,"5,11",30,0.0,0.0
543,spain,honduras,0.0,0.0
544,hp4,21,0.0,0.0
545,of counsel,of counsel,1.0,1.0
546,00801-0386,96931-0000,0.0,0.0
547,third place,group b,0.0,0.0
548,local_10,local_05,0.0,0.0
549,stade municipal,international stadium yokohama,0.0,0.0
550,ca,california,1.0,1.0
551,shanghai symphony hall,shanghai symphony hall--chamber hall,1.0,1.0
552,timor-leste,namibia,0.0,0.0
553,cruz bay,cambodia,0.0,0.0
554,bmu,guf,0.0,0.0
555,managing partner,managing partner,1.0,1.0
556,arizona,az,1.0,0.0
557,ny,fl,0.0,0.0
558,conc,balb,0.0,0.0
559,nj,la,0.0,0.0
560,global environment project,jsa/prsp and jsa/i-prsp,0.0,0.0
561,richmond,portsmouth,0.0,0.0
562,670,570,0.0,0.0
563,sebastian county,wise county,0.0,0.0
564,cap bulk,cap storm,0.0,0.0
565,e_pdisc,d110,0.0,0.0
566,connecticut,north dakota,0.0,0.0
567,daire,bailaora [flamenco dancer],0.0,0.0
568,legal counsel,legal counsel,1.0,1.0
569,vandalism,homicide,0.0,0.0
570,larceny,burglary,0.0,0.0
571,cabo verde,panama,0.0,0.0
572,argentina,curaçao,0.0,0.0
573,not listed/not applicable,portuguese,0.0,0.0
574,"eden prairie, mn 55344","eden prairie, mn",1.0,1.0
575,36,12,0.0,0.0
576,23,"20,21",0.0,0.0
577,larceny,aggravated assault,0.0,0.0
578,ukraine,montenegro,0.0,0.0
579,parkrose,tualatin - tu3,0.0,0.0
580,stadsteater,stadthalle,1.0,0.0
581,kyrgyzstan,state of palestine,0.0,0.0
582,raleigh west,mill park,0.0,0.0
583,e_in,e_pbus,0.0,0.0
584,96950-3783,00830-6120,0.0,0.0
585,"atlanta, ga","atlanta, ga 30301",1.0,1.0
586,carnegie hall,carnegie chamber music hall at carnegie hall,1.0,1.0
587,"5,8","6,5",0.0,0.0
588,burundi,papua new guinea,0.0,0.0
589,north tabor,mt tabor,0.0,0.0
590,port,viura-verdejo,0.0,0.0
591,maryland,new hampshire,0.0,0.0
592,25,12,0.0,0.0
593,blonde/white,white/blonde,1.0,1.0
594,204,300,0.0,0.0
595,tower,"day care, non-res",0.0,0.0
596,multiparty signed/agreed,status unclear,0.0,0.0
597,higher education murabaha,gram utthan: sanitation,0.0,0.0
598,coo/ attorney at law,coo/attorney at law,1.0,1.0
599,r1w6,r3y2,0.0,0.0
600,tennessee,nevada,0.0,0.0
601,mont,ssan,0.0,0.0
602,maracan� - est�dio jornalista m�rio filho,parkstadion,0.0,0.0
603,lithuania,25,0.0,0.0
604,ms,mississippi,1.0,0.0
605,fra,vgb;twn,0.0,0.0
606,giants stadium,neza,0.0,0.0
607,forestry and logging,construction,0.0,0.0
608,córdoba auto de lujo,manta,0.0,0.0
609,tunisia,botswana,0.0,0.0
610,managing paralegal,managing paralegal,1.0,1.0
611,poli theater,poli's theatre,1.0,1.0
612,c,ruby,0.0,0.0
613,prdnationwide,prd,1.0,1.0
614,trespass,homicide,0.0,0.0
615,portland,university of california,0.0,0.0
616,ca-mb ca-sb ca-sbe dbe mosb sb,ca-dvbe ca-mb ca-sb dbe,0.0,0.0
617,myanmar,saint lucia,0.0,0.0
618,bdi,bdi,1.0,1.0
619,mw,ni,0.0,0.0
620,senior counsel,sr. counsel,1.0,1.0
621,coking_coal,other_liquid_biofuels,0.0,0.0
622,immunization,mental health,0.0,0.0
623,pk,bl,0.0,0.0
624,"healthcare practitioners and technical workers, all other*","healthcare practitioners and technical workers, all other",1.0,1.0
625,fra,wsm,0.0,0.0
626,british virgin islands,afghanistan,0.0,0.0
627,end,layer 3 down,0.0,0.0
628,irish,indian,0.0,0.0
629,libya,indonesia,0.0,0.0
630,leone,leone,1.0,1.0
631,west virginia,virginia,0.0,1.0
